,fips,state_name,hospital_name,hospital_type,hq_address,hq_city,hq_state,latitude,longtitude
39,1045.0,Alabama,Dale Medical Center,Short Term Acute Care Hospital,126 Hospital Ave,Ozark,AL,31.451328,-85.632075
40,1047.0,Alabama,Vaughan Regional Medical Center,Short Term Acute Care Hospital,1015 Medical Center Pkwy,Selma,AL,32.42927220000007,-87.056025
41,1049.0,Alabama,Dekalb Regional Medical Center,Short Term Acute Care Hospital,200 Medical Center Dr,Fort Payne,AL,34.441975300000024,-85.75501379999997
42,1051.0,Alabama,Community Hospital,Short Term Acute Care Hospital,805 Friendship Rd,Tallassee,AL,32.534053,-85.912363
43,1051.0,Alabama,Elmore Community Hospital,Short Term Acute Care Hospital,500 Hospital Dr,Wetumpka,AL,32.55237870000008,-86.18666969999998
44,1053.0,Alabama,DW McMillan Memorial Hospital,Short Term Acute Care Hospital,1301 Belleville Ave,Brewton,AL,31.1249,-87.0712
45,1053.0,Alabama,Atmore Community Hospital,Short Term Acute Care Hospital,401 Medical Park Dr,Atmore,AL,31.016625300000044,-87.47634889999995
46,1055.0,Alabama,Gadsden Regional Medical Center,Short Term Acute Care Hospital,1007 Goodyear Ave,Gadsden,AL,34.00740220000006,-85.96757189999994
47,1055.0,Alabama,Riverview Regional Medical Center,Short Term Acute Care Hospital,600 S 3rd St,Gadsden,AL,34.004403,-86.003626
48,1057.0,Alabama,Fayette Medical Center (FKA Weimer Medical Center),Short Term Acute Care Hospital,1653 Temple Ave N,Fayette,AL,33.70802660000004,-87.82421789999995
49,1059.0,Alabama,Russellville Hospital,Short Term Acute Care Hospital,15155 Highway 43,Russellville,AL,34.51077260000005,-87.71834709999996
50,1059.0,Alabama,Red Bay Hospital,Critical Access Hospital,211 Hospital Rd,Red Bay,AL,34.4575,-88.1477
51,1061.0,Alabama,Wiregrass Medical Center,Short Term Acute Care Hospital,1200 W Maple Ave,Geneva,AL,31.048774,-85.890977
52,1063.0,Alabama,Greene County Hospital,Short Term Acute Care Hospital,509 Wilson Ave,Eutaw,AL,32.8421,-87.89
53,1065.0,Alabama,Hale County Hospital,Short Term Acute Care Hospital,508 Greene St,Greensboro,AL,32.695544400000074,-87.58690769999998
54,1069.0,Alabama,Flowers Hospital,Short Term Acute Care Hospital,4370 W Main St,Dothan,AL,31.23790680000008,-85.456757
55,1069.0,Alabama,Southeast Health (FKA Southeast Alabama Medical Center),Short Term Acute Care Hospital,1108 Ross Clark Cir,Dothan,AL,31.219711500000077,-85.39295439999995
56,1071.0,Alabama,Highlands Medical Center,Short Term Acute Care Hospital,380 Woods Cove Rd,Scottsboro,AL,34.6617,-86.0466
57,1073.0,Alabama,St Vincents Birmingham,Short Term Acute Care Hospital,810 Saint Vincents Dr,Birmingham,AL,33.50718120000005,-86.78891109999995
58,1073.0,Alabama,Princeton Baptist Medical Center,Short Term Acute Care Hospital,701 Princeton Ave Sw,Birmingham,AL,33.49840210000008,-86.84701659999996
59,1073.0,Alabama,Grandview Medical Center (FKA Trinity Medical Center),Short Term Acute Care Hospital,3690 Grandview Pkwy,Birmingham,AL,33.43277550000005,-86.71884469999998
60,1073.0,Alabama,St Vincents East (FKA Medical Center East),Short Term Acute Care Hospital,50 Medical Park Dr E,Birmingham,AL,33.596457,-86.66765019999997
61,1073.0,Alabama,UAB Callahan Eye Hospital,Short Term Acute Care Hospital,1720 University Blvd,Birmingham,AL,33.503575400000045,-86.80245749999995
62,1033.0,Alabama,Helen Keller Hospital,Short Term Acute Care Hospital,1300 S Montgomery Ave,Sheffield,AL,34.7464,-87.6989
63,1073.0,Alabama,UAB Hospital,Short Term Acute Care Hospital,1802 6th Ave S,Birmingham,AL,33.50661760000003,-86.80319309999999
64,1073.0,Alabama,Medical West Hospital,Short Term Acute Care Hospital,995 9th Ave Sw,Bessemer,AL,33.37227750000005,-86.99061769999997
65,1073.0,Alabama,Birmingham VA Medical Center,VA Hospital,700 19th St S,Birmingham,AL,33.50412060000008,-86.80155489999999
66,1073.0,Alabama,Brookwood Baptist Medical Center (FKA Brookwood Medical Center),Short Term Acute Care Hospital,2010 Brookwood Medical Ctr Dr,Birmingham,AL,33.47023830000006,-86.8069698
67,1077.0,Alabama,North Alabama Medical Center (FKA Eliza Coffee Memorial Hospital),Short Term Acute Care Hospital,1701 Veterans Dr,Florence,AL,34.80439390000004,-87.65094529999999
68,1079.0,Alabama,Lawrence Medical Center,Short Term Acute Care Hospital,202 Hospital St,Moulton,AL,34.4828,-87.286
69,1081.0,Alabama,East Alabama Medical Center - Opelika,Short Term Acute Care Hospital,2000 Pepperell Pkwy,Opelika,AL,32.640162900000064,-85.40375059999997
70,1083.0,Alabama,Athens-Limestone Hospital,Short Term Acute Care Hospital,700 W Market St,Athens,AL,34.80426070000004,-86.979177
71,1089.0,Alabama,Huntsville Hospital,Short Term Acute Care Hospital,101 Sivley Rd SW,Huntsville,AL,34.721046,-86.581799
72,1089.0,Alabama,Crestwood Medical Center,Short Term Acute Care Hospital,1 Hospital Dr,Huntsville,AL,34.69392790000006,-86.57193239999998
73,1091.0,Alabama,Whitfield Regional Hospital (FKA Bryan W Whitfield Memorial Hospital),Short Term Acute Care Hospital,105 Us Highway 80 E,Demopolis,AL,32.384584,-87.91165
74,1093.0,Alabama,Northwest Medical Center,Short Term Acute Care Hospital,1530 Us Highway 43,Winfield,AL,33.930256100000065,-87.82442579999997
75,1093.0,Alabama,North Mississippi Medical Center - Hamilton,Short Term Acute Care Hospital,1256 Military St S,Hamilton,AL,34.12679950000006,-87.99146519999994
76,1095.0,Alabama,Marshall Medical Center South,Short Term Acute Care Hospital,2505 Us Highway 431,Boaz,AL,34.22159,-86.160495
77,1097.0,Alabama,USA Health University Hospital (FKA University of South Alabama Medical Center),Short Term Acute Care Hospital,2451 USA Medical Center Dr,Mobile,AL,30.707287500000064,-88.09856279999997
78,1097.0,Alabama,Providence Hospital,Short Term Acute Care Hospital,6801 Airport Blvd,Mobile,AL,30.67828170000007,-88.19855229999996
79,1097.0,Alabama,Mobile Infirmary,Short Term Acute Care Hospital,5 Mobile Infirmary Cir,Mobile,AL,30.698862500000075,-88.07942519999995
80,1097.0,Alabama,Springhill Medical Center,Short Term Acute Care Hospital,3719 Dauphin St,Mobile,AL,30.68523360000006,-88.13171109999996
81,1097.0,Alabama,USA Childrens & Womens Hospital,Childrens Hospital,1700 Center St,Mobile,AL,30.69745120000005,-88.07795869999995
82,1099.0,Alabama,Monroe County Hospital,Short Term Acute Care Hospital,2016 S Alabama Ave,Monroeville,AL,31.498257,-87.32068159999994
83,1101.0,Alabama,Baptist Medical Center East,Short Term Acute Care Hospital,400 Taylor Rd,Montgomery,AL,32.37622840000006,-86.17482959999995
84,1101.0,Alabama,Central Alabama Veterans Health Care System - West Campus,VA Hospital,215 Perry Hill Rd,Montgomery,AL,32.376919300000054,-86.24390859999994
85,1101.0,Alabama,Baptist Medical Center South,Short Term Acute Care Hospital,2105 E South Blvd,Montgomery,AL,32.3269,-86.271
86,1101.0,Alabama,Jackson Hospital,Short Term Acute Care Hospital,1725 Pine St,Montgomery,AL,32.36708310000006,-86.28534919999998
87,1103.0,Alabama,Decatur Morgan Hospital - Decatur Campus (FKA Decatur General Hospital),Short Term Acute Care Hospital,1201 7th St SE,Decatur,AL,34.59041350000007,-86.972417
88,1109.0,Alabama,Troy Regional Medical Center,Short Term Acute Care Hospital,1330 Highway 231 S,Troy,AL,31.78114970000007,-85.94490869999998
89,1113.0,Alabama,Jack Hughston Memorial Hospital,Short Term Acute Care Hospital,4401 Riverchase Dr,Phenix City,AL,32.50808450000005,-85.00867139999997
90,1115.0,Alabama,St Vincents St Clair,Short Term Acute Care Hospital,7063 Veterans Pkwy,Pell City,AL,33.60437050000007,-86.30172529999999
91,1117.0,Alabama,Shelby Baptist Medical Center,Short Term Acute Care Hospital,1000 1st St N,Alabaster,AL,33.25241390000008,-86.8130445
92,1119.0,Alabama,Hill Hospital of Sumter County,Short Term Acute Care Hospital,751 Derby Dr,York,AL,32.4917,-88.296
93,1121.0,Alabama,Coosa Valley Medical Center,Short Term Acute Care Hospital,315 W Hickory St,Sylacauga,AL,33.16444660000008,-86.25520419999998
94,1121.0,Alabama,Citizens Baptist Medical Center,Short Term Acute Care Hospital,604 Stone Ave,Talladega,AL,33.4397,-86.0921
95,1123.0,Alabama,Lake Martin Community Hospital,Short Term Acute Care Hospital,201 Mariarden Rd,Dadeville,AL,32.82,-85.7415
96,1123.0,Alabama,Russell Medical Center,Short Term Acute Care Hospital,3316 Highway 280,Alexander City,AL,32.9316,-85.9687
97,1125.0,Alabama,DCH Regional Medical Center,Short Term Acute Care Hospital,809 University Blvd E,Tuscaloosa,AL,33.20479530000006,-87.52669559999998
98,1125.0,Alabama,Tuscaloosa VA Medical Center,VA Hospital,3701 Loop Road East,Tuscaloosa,AL,33.191365200000064,-87.48656129999995
99,1127.0,Alabama,Walker Baptist Medical Center,Short Term Acute Care Hospital,3400 Highway 78 E,Jasper,AL,33.829811,-87.20808949999997
100,1129.0,Alabama,Washington County Hospital,Critical Access Hospital,14600 Saint Stephens Ave,Chatom,AL,31.459627100000034,-88.235022
101,1131.0,Alabama,J Paul Jones Hospital,Short Term Acute Care Hospital,317 Mcwilliams Ave,Camden,AL,31.998095300000045,-87.30016289999998
102,1133.0,Alabama,Lakeland Community Hospital,Short Term Acute Care Hospital,42024 Highway 195,Haleyville,AL,34.241867,-87.591312
103,2020.0,Alaska,Providence Alaska Medical Center,Short Term Acute Care Hospital,3200 Providence Dr,Anchorage,AK,61.18790490000004,-149.81691369999996
104,2020.0,Alaska,Alaska Regional Hospital,Short Term Acute Care Hospital,2801 Debarr Rd,Anchorage,AK,61.21069310000007,-149.82873329999998
105,2020.0,Alaska,Alaska Native Medical Center,Short Term Acute Care Hospital,4315 Diplomacy Dr,Anchorage,AK,61.18296470000007,-149.79996729999996
106,2050.0,Alaska,Yukon-Kuskokwim Delta Regional Hospital,Short Term Acute Care Hospital,829 Chief Eddie Hoffman Hwy,Bethel,AK,60.7494,-161.7271
107,23011.0,Maine,Maine VA Medical Center (AKA Togus VA Medical Center),VA Hospital,1 Va Ctr,Augusta,ME,44.31062410000004,-69.77948969999994
108,2090.0,Alaska,Fairbanks Memorial Hospital,Short Term Acute Care Hospital,1650 Cowles St,Fairbanks,AK,64.83115690000005,-147.73994709999997
109,2110.0,Alaska,Bartlett Regional Hospital,Short Term Acute Care Hospital,3260 Hospital Dr,Juneau,AK,58.32901640000006,-134.46491669999995
110,2122.0,Alaska,Central Peninsula Hospital,Short Term Acute Care Hospital,250 Hospital Pl,Soldotna,AK,60.49336990000006,-151.07825209999996
111,2122.0,Alaska,Providence Seward Medical & Care Center,Critical Access Hospital,417 1st Ave,Seward,AK,60.26951,-149.388742
112,2122.0,Alaska,South Peninsula Hospital,Critical Access Hospital,4300 Bartlett St,Homer,AK,59.65215050000006,-151.55003389999996
113,2130.0,Alaska,PeaceHealth Ketchikan Medical Center,Critical Access Hospital,3100 Tongass Ave,Ketchikan,AK,55.35365710000008,-131.6866346
114,24510.0,Maryland,VA Maryland Health Care System - Baltimore VA Medical Center,VA Hospital,10 N Greene St,Baltimore,MD,39.289565,-76.62448389999997
115,2150.0,Alaska,Providence Kodiak Island Medical Center,Critical Access Hospital,1915 E Rezanof Dr,Kodiak,AK,57.80088370000004,-152.37564719999995
116,2170.0,Alaska,Mat-Su Regional Medical Center,Short Term Acute Care Hospital,2500 S Woodworth Loop,Palmer,AK,61.56316030000005,-149.25763829999997
117,2180.0,Alaska,Norton Sound Regional Hospital,Critical Access Hospital,1000 Greg Kruschek Ave,Nome,AK,64.497393,-165.40595
118,2220.0,Alaska,Mt Edgecumbe Hospital,Critical Access Hospital,222 Tongass Dr,Sitka,AK,57.05199030000006,-135.35519879999998
119,2275.0,Alaska,Wrangell Medical Center,Critical Access Hospital,310 Bennett St,Wrangell,AK,56.3147,-131.7229
120,25015.0,Massachusetts,VA Central Western Massachusetts Healthcare System - Northampton VA Medical Center (AKA Edward P Boland Department of Veterans Affairs Medical Center),VA Hospital,421 N Main St,Leeds,MA,42.34717390000003,-72.68592709999996
121,25017.0,Massachusetts,Edith Nourse Rogers Memorial Veterans Hospital,VA Hospital,200 Springs Rd,Bedford,MA,42.50719460000005,-71.27558859999994
122,4001.0,Arizona,Fort Defiance Indian Hospital,Short Term Acute Care Hospital,Intersection of Route 12 and 7,Fort Defiance,AZ,35.759317,-109.04839919999996
123,4001.0,Arizona,Chinle Comprehensive Health Care Facility,Short Term Acute Care Hospital,Highway 191,Chinle,AZ,36.1542,-109.5526
124,4001.0,Arizona,Sage Memorial Hospital,Critical Access Hospital,US-191 & AZ-264,Ganado,AZ,35.6053,-109.4589
125,4001.0,Arizona,White Mountain Regional Medical Center,Critical Access Hospital,118 S Mountain Ave,Springerville,AZ,34.13164090000004,-109.28550009999998
126,4003.0,Arizona,Copper Queen Community Hospital,Critical Access Hospital,101 Cole Ave,Bisbee,AZ,31.417589700000065,-109.88279329999996
127,4003.0,Arizona,Benson Hospital,Critical Access Hospital,450 S Ocotillo Ave,Benson,AZ,31.96494380000007,-110.30849529999996
128,4003.0,Arizona,Northern Cochise Community Hospital,Critical Access Hospital,901 W Rex Allen Dr,Willcox,AZ,32.26491250000004,-109.838086
129,4003.0,Arizona,Canyon Vista Medical Center (FKA Sierra Vista Regional Health Center),Short Term Acute Care Hospital,5700 E Highway 90,Sierra Vista,AZ,31.554586,-110.230876
130,4005.0,Arizona,Flagstaff Medical Center,Short Term Acute Care Hospital,1200 N Beaver St,Flagstaff,AZ,35.209004900000025,-111.64390729999997
131,4005.0,Arizona,Page Hospital,Critical Access Hospital,501 N Navajo Dr,Page,AZ,36.91754,-111.463911
132,4005.0,Arizona,Tuba City Regional Health Care,Short Term Acute Care Hospital,167 Main Street,Tuba City,AZ,36.1362,-111.2397
133,4009.0,Arizona,San Carlos Apache Healthcare (FKA PHS Indian Hospital - San Carlos),Short Term Acute Care Hospital,103 Medicine Way Rd,Peridot,AZ,33.2953,-110.4178
134,4007.0,Arizona,Cobre Valley Regional Medical Center,Critical Access Hospital,5880 S Hospital Dr,Globe,AZ,33.40606280000003,-110.8268096
135,4007.0,Arizona,Banner Payson Medical Center (AKA Payson Regional Medical Center),Critical Access Hospital,807 S Ponderosa St,Payson,AZ,34.2317,-111.3213
136,4009.0,Arizona,Mt Graham Regional Medical Center,Short Term Acute Care Hospital,1600 S 20th Ave,Safford,AZ,32.822625,-109.734994
137,4012.0,Arizona,La Paz Regional Hospital,Critical Access Hospital,1200 W Mohave Rd,Parker,AZ,34.13563650000003,-114.28479369999997
138,4013.0,Arizona,Banner Desert Medical Center,Short Term Acute Care Hospital,1400 S Dobson Rd,Mesa,AZ,33.38995440000008,-111.8770411
139,4013.0,Arizona,Banner Boswell Medical Center,Short Term Acute Care Hospital,10401 W Thunderbird Blvd,Sun City,AZ,33.60367670000005,-112.28422309999996
140,4013.0,Arizona,St Josephs Hospital and Medical Center,Short Term Acute Care Hospital,350 W Thomas Rd,Phoenix,AZ,33.481882,-112.0793096
141,4013.0,Arizona,Abrazo Central Campus (FKA Phoenix Baptist Hospital),Short Term Acute Care Hospital,2000 W Bethany Home Rd,Phoenix,AZ,33.525601,-112.10206549999998
142,4013.0,Arizona,Chandler Regional Medical Center,Short Term Acute Care Hospital,1955 W Frye Rd,Chandler,AZ,33.29738670000006,-111.87460539999996
143,4013.0,Arizona,HonorHealth Scottsdale Osborn Medical Center,Short Term Acute Care Hospital,7400 E Osborn Rd,Scottsdale,AZ,33.48869670000005,-111.9229987
144,4013.0,Arizona,Valleywise Health Medical Center (FKA Maricopa Medical Center),Short Term Acute Care Hospital,2601 E Roosevelt St,Phoenix,AZ,33.457309800000075,-112.02611909999996
145,4013.0,Arizona,HonorHealth John C Lincoln Medical Center (FKA John C Lincoln North Mountain Hospital),Short Term Acute Care Hospital,250 E Dunlap Ave,Phoenix,AZ,33.56892940000006,-112.0710274
146,4013.0,Arizona,Valleywise Behavioral Health Center - Maryvale (FKA MIHS Maryvale Hospital),Short Term Acute Care Hospital,5102 W Campbell Ave,Phoenix,AZ,33.50278190000006,-112.17077909999996
147,4013.0,Arizona,Banner - University Medical Center Phoenix (FKA Banner Good Samaritan Medical Center),Short Term Acute Care Hospital,1111 E Mcdowell Rd,Phoenix,AZ,33.464967400000035,-112.05788359999995
148,4013.0,Arizona,Phoenix Indian Medical Center,Short Term Acute Care Hospital,4212 N 16th St,Phoenix,AZ,33.49695,-112.049421
149,4013.0,Arizona,Abrazo Scottsdale Campus (FKA Paradise Valley Hospital),Short Term Acute Care Hospital,3929 E Bell Rd,Phoenix,AZ,33.63929020000006,-111.99752149999996
150,4013.0,Arizona,HonorHealth Scottsdale Shea Medical Center,Short Term Acute Care Hospital,9003 E Shea Blvd,Scottsdale,AZ,33.580069,-111.8851431
151,4013.0,Arizona,Banner Baywood Medical Center,Short Term Acute Care Hospital,6644 E Baywood Ave,Mesa,AZ,33.41130950000007,-111.68750789999996
152,4013.0,Arizona,Banner Thunderbird Medical Center,Short Term Acute Care Hospital,5555 W Thunderbird Rd,Glendale,AZ,33.609194100000025,-112.17958439999995
153,4013.0,Arizona,HonorHealth Deer Valley Medical Center,Short Term Acute Care Hospital,19829 N 27th Ave,Phoenix,AZ,33.666004600000065,-112.11600869999997
154,4013.0,Arizona,Banner Del E Webb Medical Center,Short Term Acute Care Hospital,14502 W Meeker Blvd,Sun City West,AZ,33.660310700000025,-112.37280089999996
155,4013.0,Arizona,Abrazo Arrowhead Campus (FKA Arrowhead Hospital),Short Term Acute Care Hospital,18701 N 67th Ave,Glendale,AZ,33.65508950000003,-112.20154639999998
156,4013.0,Arizona,Mayo Clinic Hospital - Arizona,Short Term Acute Care Hospital,5777 E Mayo Blvd,Phoenix,AZ,33.65889850000008,-111.95641919999996
157,4013.0,Arizona,Banner Heart Hospital,Short Term Acute Care Hospital,6750 E Baywood Ave,Mesa,AZ,33.41123070000003,-111.6868295
158,4013.0,Arizona,Arizona Spine & Joint Hospital,Short Term Acute Care Hospital,4620 E Baseline Rd,Mesa,AZ,33.38037950000006,-111.7347299
159,4013.0,Arizona,CORE Institute Specialty Hospital (FKA the Surgical Hospital of Phoenix),Short Term Acute Care Hospital,6501 N 19th Ave,Phoenix,AZ,33.53219690000003,-112.098972
160,4013.0,Arizona,Abrazo West Campus (FKA West Valley Hospital),Short Term Acute Care Hospital,13677 W Mcdowell Rd,Goodyear,AZ,33.46255690000004,-112.35214889999996
161,4013.0,Arizona,Wickenburg Community Hospital,Critical Access Hospital,520 Rose Ln,Wickenburg,AZ,33.97828240000007,-112.73914109999998
162,4013.0,Arizona,Dignity Health Arizona Specialty Hospital (FKA Arizona Orthopedic Surgical Hospital),Short Term Acute Care Hospital,2905 W Warner Rd,Chandler,AZ,33.333753700000045,-111.891233
163,4013.0,Arizona,Banner Estrella Medical Center,Short Term Acute Care Hospital,9201 W Thomas Rd,Phoenix,AZ,33.47848220000003,-112.25758889999996
164,4013.0,Arizona,Mercy Gilbert Medical Center,Short Term Acute Care Hospital,3555 S Val Vista Dr,Gilbert,AZ,33.28716510000004,-111.75224349999996
165,4013.0,Arizona,Mountain Vista Medical Center,Short Term Acute Care Hospital,1301 S Crismon Rd,Mesa,AZ,33.39146260000007,-111.61208739999996
166,4013.0,Arizona,Banner Gateway Medical Center,Short Term Acute Care Hospital,1900 N Higley Rd,Gilbert,AZ,33.38404680000008,-111.7225666
167,4013.0,Arizona,HonorHealth Scottsdale Thompson Peak Medical Center,Short Term Acute Care Hospital,7400 E Thompson Peak Pkwy,Scottsdale,AZ,33.67098130000005,-111.92229519999997
168,4013.0,Arizona,Phoenix Childrens Hospital,Childrens Hospital,1919 E Thomas Rd,Phoenix,AZ,33.479290400000025,-112.03999869999996
169,4015.0,Arizona,Valley View Medical Center,Short Term Acute Care Hospital,5330 S Highway 95,Fort Mohave,AZ,35.00274850000005,-114.59627659999995
170,4015.0,Arizona,Western Arizona Regional Medical Center,Short Term Acute Care Hospital,2735 Silver Creek Rd,Bullhead City,AZ,35.11080560000005,-114.55498289999996
171,4015.0,Arizona,Havasu Regional Medical Center,Short Term Acute Care Hospital,101 Civic Center Ln,Lake Havasu City,AZ,34.48038210000004,-114.33886679999996
172,4015.0,Arizona,Kingman Regional Medical Center,Short Term Acute Care Hospital,3269 N Stockton Hill Rd,Kingman,AZ,35.22015470000008,-114.03709329999998
173,4017.0,Arizona,Summit Healthcare Regional Medical Center,Short Term Acute Care Hospital,2200 E Show Low Lake Rd,Show Low,AZ,34.20281370000004,-110.01798119999997
174,4017.0,Arizona,Hopi Health Care Center,Critical Access Hospital,Highway 264 Mile Post 388,Polacca,AZ,35.9347,-110.453
175,4017.0,Arizona,Whiteriver Indian Hospital,Short Term Acute Care Hospital,200 West Hospital Drive,Whiteriver,AZ,33.8758,-109.9577
176,4017.0,Arizona,Little Colorado Medical Center,Critical Access Hospital,1501 N Williamson Ave,Winslow,AZ,35.03582970000008,-110.69259769999996
177,4019.0,Arizona,Oro Valley Hospital,Short Term Acute Care Hospital,1551 E Tangerine Rd,Oro Valley,AZ,32.42925850000006,-110.94859229999996
178,4019.0,Arizona,Sells Indian Hospital,Short Term Acute Care Hospital,Arizona State Highway 86,Sells,AZ,31.9183,-111.8792
179,4019.0,Arizona,Northwest Medical Center,Short Term Acute Care Hospital,6200 N La Cholla Blvd,Tucson,AZ,32.320276800000045,-111.01007519999996
180,4019.0,Arizona,Banner - University Medical Center South (FKA University of Arizona Medical Center - South Campus),Short Term Acute Care Hospital,2800 E Ajo Way,Tucson,AZ,32.1778,-110.9295
181,4019.0,Arizona,Banner - University Medical Center Tucson (FKA University of Arizona Medical Center),Short Term Acute Care Hospital,1625 N Campbell Ave,Tucson,AZ,32.2468,-110.9447
